Time,Tweets,Likes
0005,0,0
0010,0,0
0015,0,0
0020,0,0
0025,0,0
0030,0,0
0035,1,3
0040,0,3
0045,1,5
0050,0,2
0055,1,1
0100,0,0
0105,0,0
0110,0,0
0115,0,0
0120,0,0
0125,0,0
0130,0,0
0135,0,0
0140,0,0
0145,0,0
0150,0,0
0155,0,0
0200,0,0
0205,0,0
0210,0,0
0215,0,0
0220,0,-1
0225,0,0
0230,0,0
0235,0,0
0240,0,0
0245,0,0
0250,0,0
0255,0,0
0300,1,3
0305,2,2
0310,0,10
0315,0,0
0320,2,1
0325,0,0
0330,0,0
0335,0,0
0340,0,0
0345,0,0
0350,0,0
0355,2,5
0400,3,10
0405,3,12
0410,3,5
0415,0,0
0420,0,0
0425,0,0
0430,2,6
0435,1,4
0440,1,2
0445,0,0
0450,0,0
0455,0,0
0500,0,0
0505,0,0
0510,3,4
0515,2,4
0520,3,5
0525,2,3
0530,4,19
0535,4,7
0540,1,3
0545,0,0
0550,1,6
0555,3,6
0600,4,7
0605,1,6
0610,0,0
0615,0,0
0620,0,0
0625,0,0
0630,0,0
0635,0,0
0640,0,0
0645,0,0
0650,0,0
0655,0,0
0700,0,0
0705,0,0
0710,0,0
0715,0,0
0720,0,0
0725,0,0
0730,0,0
0735,0,0
0740,0,0
0745,0,0
0750,0,0
0755,0,0
0800,0,0
0805,0,0
0810,0,0
0815,0,0
0820,0,0
0825,0,0
0830,0,0
0835,0,0
0840,0,0
0845,0,0
0850,0,0
0855,0,0
0900,0,0
0905,0,0
0910,0,0
0915,0,0
0920,0,0
0925,0,0
0930,0,0
0935,0,0
0940,0,0
0945,0,0
0950,0,0
0955,0,0
1000,0,0
1005,0,0
1010,0,0
1015,1,2
1020,0,0
1025,0,0
1030,1,9
1035,0,5
1040,1,5
1045,0,0
1050,1,3
1055,0,0
1100,1,6
1105,3,14
1110,2,3
1115,0,1
1120,1,7
1125,5,7
1130,1,4
1135,3,2
1140,0,0
1145,0,0
1150,1,4
1155,1,6
1200,1,2
1205,0,0
1210,0,0
1215,0,0
1220,0,0
1225,0,0
1230,0,0
1235,0,0
1240,0,0
1245,0,0
1250,0,0
1255,0,0
1300,0,0
1305,0,0
1310,0,1
1315,2,7
1320,3,11
1325,3,12
1330,3,6
1335,0,0
1340,0,0
1345,2,4
1350,0,4
1355,0,0
1400,0,0
1405,0,0
1410,0,0
1415,0,0
1420,0,0
1425,0,0
1430,0,0
1435,0,0
1440,0,3
1445,1,6
1450,0,0
1455,0,0
1500,0,-2
1505,0,0
1510,0,0
1515,0,0
1520,0,0
1525,0,0
1530,0,0
1535,1,1
1540,0,1
1545,0,0
1550,0,0
1555,0,0
1600,0,0
1605,0,0
1610,0,0
1615,0,0
1620,0,0
1625,0,0
1630,1,0
1635,1,0
1640,1,3
1645,3,2
1650,3,3
1655,1,1
1700,1,1
1705,0,0
1710,1,1
1715,1,1
1720,2,6
1725,1,2
1730,2,1
1735,1,2
1740,3,7
1745,2,2
1750,0,4
1755,0,0
1800,0,0
1805,0,0
1810,0,0
1815,0,0
1820,0,0
1825,0,0
1830,0,0
1835,0,0
1840,0,0
1845,0,0
1850,2,3
1855,0,4
1900,2,7
1905,0,-1
1910,0,0
1915,2,0
1920,2,2
1925,1,1
1930,2,6
1935,1,4
1940,1,0
1945,0,1
1950,1,0
1955,4,4
2000,1,12
2005,3,5
2010,0,3
2015,1,1
2020,0,0
2025,0,0
2030,2,4
2035,2,0
2040,0,0
2045,0,0
2050,0,0
2055,0,-10
2100,0,0
2105,0,0
2110,0,0
2115,0,0
2120,0,0
2125,0,0
2130,0,0
2135,0,0
2140,0,0
2145,0,0
2150,0,0
2155,0,0
2200,0,0
2205,0,0
2210,0,0
2215,0,0
2220,1,0
2225,0,0
2230,1,5
2235,2,2
2240,0,0
2245,0,0
2250,0,-1
2255,0,0
2300,1,1
2305,0,0
2310,0,1
2315,2,2
2320,0,0
2325,1,2
2330,5,18
2335,2,9
2340,4,19
2345,5,5
2350,4,12
2355,4,7
0000,3,8
