time,tweets,likes
00:00,0,0
00:05,0,0
00:10,0,0
00:15,0,0
00:20,0,0
00:25,0,0
00:30,1,1
00:35,0,0
00:40,0,0
00:45,0,0
00:50,0,0
00:55,0,0
01:00,0,0
01:05,0,0
01:10,3,7
01:15,0,0
01:20,0,0
01:25,0,0
01:30,0,0
01:35,0,0
01:40,0,0
01:45,0,0
01:50,0,0
01:55,0,0
02:00,0,0
02:05,0,0
02:10,0,0
02:15,0,0
02:20,0,0
02:25,0,0
02:30,0,0
02:35,0,0
02:40,0,0
02:45,0,0
02:50,0,0
02:55,0,0
03:00,0,0
03:05,0,0
03:10,0,0
03:15,0,0
03:20,0,0
03:25,0,0
03:30,0,0
03:35,0,0
03:40,0,0
03:45,0,0
03:50,0,0
03:55,0,0
04:00,0,0
04:05,0,0
04:10,0,0
04:15,0,0
04:20,0,0
04:25,0,0
04:30,0,0
04:35,0,0
04:40,0,0
04:45,0,0
04:50,0,0
04:55,0,0
05:00,0,0
05:05,0,0
05:10,0,0
05:15,0,0
05:20,0,0
05:25,0,0
05:30,0,0
05:35,0,0
05:40,0,0
05:45,0,0
05:50,0,0
05:55,0,0
06:00,0,0
06:05,0,0
06:10,0,0
06:15,0,0
06:20,0,0
06:25,0,0
06:30,0,0
06:35,0,0
06:40,0,0
06:45,0,0
06:50,0,0
06:55,0,0
07:00,0,0
07:05,0,0
07:10,2,2
07:15,1,9
07:20,5,5
07:25,3,6
07:30,1,0
07:35,1,4
07:40,0,1
07:45,0,0
07:50,0,0
07:55,0,0
08:00,0,0
08:05,0,0
08:10,0,0
08:15,0,0
08:20,0,0
08:25,0,0
08:30,0,0
08:35,0,0
08:40,0,0
08:45,0,0
08:50,0,0
08:55,0,0
09:00,0,0
09:05,0,0
09:10,0,0
09:15,0,0
09:20,0,0
09:25,0,0
09:30,0,0
09:35,0,0
09:40,0,0
09:45,0,0
09:50,0,0
09:55,0,0
10:00,0,0
10:05,0,0
10:10,0,0
10:15,0,0
10:20,0,0
10:25,0,0
10:30,0,0
10:35,0,0
10:40,0,0
10:45,0,0
10:50,0,0
10:55,1,1
11:00,0,0
11:05,0,0
11:10,0,0
11:15,0,0
11:20,0,0
11:25,0,0
11:30,0,0
11:35,0,0
11:40,0,0
11:45,0,0
11:50,0,0
11:55,1,2
12:00,8,8
12:05,0,0
12:10,0,0
12:15,0,0
12:20,0,0
12:25,5,7
12:30,1,3
12:35,0,0
12:40,0,0
12:45,1,6
12:50,3,5
12:55,2,6
13:00,1,0
13:05,1,1
13:10,0,0
13:15,0,0
13:20,0,0
13:25,0,0
13:30,0,0
13:35,0,0
13:40,0,0
13:45,0,0
13:50,0,0
13:55,0,0
14:00,0,0
14:05,0,0
14:10,0,0
14:15,0,0
14:20,0,0
14:25,0,0
14:30,0,0
14:35,0,0
14:40,0,0
14:45,0,0
14:50,0,0
14:55,0,0
15:00,4,4
15:05,3,6
15:10,4,12
15:15,1,1
15:20,0,0
15:25,0,0
15:30,0,0
15:35,0,0
15:40,0,0
15:45,0,0
15:50,0,4
15:55,4,7
16:00,6,6
16:05,2,2
16:10,1,0
16:15,1,2
16:20,3,4
16:25,0,0
16:30,1,1
16:35,2,1
16:40,1,1
16:45,1,3
16:50,2,1
16:55,0,0
17:00,0,0
17:05,0,0
17:10,0,0
17:15,0,0
17:20,0,0
17:25,0,0
17:30,0,0
17:35,0,0
17:40,0,0
17:45,0,0
17:50,1,1
17:55,0,0
18:00,0,0
18:05,2,1
18:10,0,0
18:15,0,0
18:20,2,0
18:25,2,0
18:30,0,0
18:35,0,0
18:40,2,7
18:45,3,7
18:50,1,1
18:55,0,0
19:00,1,0
19:05,0,0
19:10,0,0
19:15,0,3
19:20,4,10
19:25,1,0
19:30,0,0
19:35,5,6
19:40,2,2
19:45,1,9
19:50,2,6
19:55,6,9
20:00,1,8
20:05,2,5
20:10,5,11
20:15,3,5
20:20,2,4
20:25,1,1
20:30,0,0
20:35,1,6
20:40,0,0
20:45,4,3
20:50,1,9
20:55,2,12
21:00,4,5
21:05,0,0
21:10,0,0
21:15,0,0
21:20,0,0
21:25,0,0
21:30,0,0
21:35,0,1
21:40,1,0
21:45,2,1
21:50,2,2
21:55,1,7
22:00,1,2
22:05,3,3
22:10,0,0
22:15,2,4
22:20,3,7
22:25,7,9
22:30,3,8
22:35,0,4
22:40,1,1
22:45,6,11
22:50,3,5
22:55,4,8
23:00,8,11
23:05,6,16
23:10,5,7
23:15,3,12
23:20,0,0
23:25,0,0
23:30,0,0
23:35,1,6
23:40,4,5
23:45,7,11
23:50,2,8
23:55,1,1
